Fitness,Precision,Generalization,Simplicity,AECS
"(10, 3600, 1.0)","(10, 3600, 0.2931397077486493)","(10, 3600, 0.891620387470999)","(10, 3600, 0.5900621118012422)","(10, 3600, np.float64(989.6))"
"(1, 3600, 1.0)","(1, 3600, 0.2751009349766256)","(1, 3600, 0.883235599321772)","(1, 3600, 0.5955056179775281)","(1, 3600, np.float64(950.875))"
"(20, 3600, 0.9998576686118623)","(20, 3600, 0.22921697983546363)","(20, 3600, 0.9324971572634784)","(20, 3600, 0.5769230769230769)","(20, 3600, np.float64(963.9333333333333))"
"(30, 3600, 1.0)","(30, 3600, 0.3262628597849959)","(30, 3600, 0.892006440419538)","(30, 3600, 0.605263157894737)","(30, 3600, np.float64(1087.2307692307693))"
"(40, 3600, 1.0)","(40, 3600, 0.34530270761291904)","(40, 3600, 0.8863678978669959)","(40, 3600, 0.6000000000000001)","(40, 3600, np.float64(1063.3846153846155))"
"(50, 3600, 1.0)","(50, 3600, 0.31103378930692493)","(50, 3600, 0.8852299573239918)","(50, 3600, 0.5944055944055945)","(50, 3600, np.float64(1043.3076923076924))"
"(60, 3600, 1.0)","(60, 3600, 0.3723715779198862)","(60, 3600, 0.9116141560500488)","(60, 3600, 0.6068376068376068)","(60, 3600, np.float64(1211.8181818181818))"
"(70, 3600, 1.0)","(70, 3600, 0.3822052677344254)","(70, 3600, 0.932375575096688)","(70, 3600, 0.5929203539823008)","(70, 3600, np.float64(1194.2727272727273))"
"(80, 3600, 1.0)","(80, 3600, 0.37342873176206515)","(80, 3600, 0.9104389771746234)","(80, 3600, 0.6068376068376068)","(80, 3600, np.float64(1177.0))"
"(90, 3600, 0.9914444574140833)","(90, 3600, 0.3405827292170097)","(90, 3600, 0.8964654768090208)","(90, 3600, 0.6283185840707964)","(90, 3600, np.float64(443.54545454545456))"
